control_executed,episode_steps,final_estimated_goal_xy_error_m,final_object_xyz_evaluator_only,final_true_goal_abs_x_error_m,final_true_goal_abs_y_error_m,final_true_goal_xy_error_m,full_success,goal_detected,goal_failure_reason,goal_xy_error_m,initial_object_xyz,object_detected,object_failure_reason,object_xy_error_m,place_success,seed,true_goal_xyz_evaluator_only,object_inside_goal_region_xy
True,456,0.0085618881569148,"[0.4951984597910322, -0.09326501013974971, 0.3167227605316749]",0.0071008183751648,0.0043430709752476,0.0083236943176162,True,True,,0.0018377449192777,"[0.5410885061964363, -0.09208531449445188, 0.315]",True,,0.0004432580089961,True,0,"[0.48809764141586737, -0.09760808111499739, 0.315]",False
False,0,,,,,,False,False,ArUco goal capture failed closed before PPO: seed=1; reason=insufficient_valid_frames:0/8;failures={'marker_not_detected': 30}; failures={'marker_not_detected': 30},,,False,not_attempted_after_goal_fail_closed,,False,1,,False
True,518,0.0101687668431819,"[0.332671822797398, -0.1357790816244959, 0.3203711781770191]",0.0006527485702008,0.0076843065755196,0.0077119808248253,True,True,,0.0025556161171946,"[0.4284836402747949, -0.08060354263435068, 0.315]",True,,0.0009357372985032,True,2,"[0.3320190742271971, -0.1434633882000155, 0.315]",False
True,473,0.0067075117188668,"[0.47041321150023624, -0.046472077733385755, 0.3186395524014299]",0.0045139178358741,0.0024815076658343,0.0051510517881901,True,True,,0.0017618120295695,"[0.3756947501430873, -0.10527579736156012, 0.315]",True,,0.0004498323203929,True,3,"[0.47492712933611037, -0.048953585399220095, 0.315]",False
True,565,0.0103957675900636,"[0.5276158360138443, -0.05006907702113032, 0.3168432505532046]",0.0066277329260298,0.0077011113921961,0.0101604114293562,True,True,,0.0009868321903685,"[0.6329168316717103, 0.004531021125744633, 0.315]",True,,0.0012652238219237,True,4,"[0.5209881030878145, -0.057770188413326456, 0.315]",False
True,465,0.0110073867835917,"[0.6145563713839489, 0.04497533236219186, 0.31587904543225215]",0.0027071225965535,0.0107267120168185,0.0110630404249704,True,True,,0.0025644742288344,"[0.5915008771236141, 0.12317631589459749, 0.315]",True,,0.0016593123206379,True,5,"[0.6118492487873953, 0.03424862034537329, 0.315]",False
True,467,0.0095728789694287,"[0.5663927254732668, -0.11126146586261168, 0.31690678746761725]",0.0011114302978381,0.0078406434769525,0.0079190256622662,True,True,,0.001861961242509,"[0.511449305441583, -0.06269165207466462, 0.315]",True,,0.0004176900749288,True,6,"[0.5675041557711049, -0.11910210933956422, 0.315]",False
True,472,0.0101826202908888,"[0.5204508377562428, 0.058241744777850886, 0.3166387363050768]",0.0003073457713592,0.0100542244055051,0.0100589209073055,True,True,,0.0013308490835278,"[0.5375286399814001, 0.15888552038783021, 0.315]",True,,0.0022010268439889,True,7,"[0.5201434919848835, 0.04818752037234572, 0.315]",False
True,367,0.0058952297599198,"[0.4257895602332776, 0.26640791033787387, 0.31796832013226034]",0.0041942893872066,0.0017959597566745,0.0045626236872251,True,True,,0.0022547669705572,"[0.44809168298166824, 0.19491073733517023, 0.315]",True,,0.0016706507392088,True,8,"[0.4299838496204842, 0.2682038700945484, 0.315]",True
True,504,0.0070183842255756,"[0.6007833609722468, 0.0066264506348029314, 0.3147507310262495]",0.0066216791670301,0.0048856290166028,0.0082289735616875,True,True,,0.00134039777569,"[0.6110747611910254, -0.08527311636497786, 0.315]",True,,0.0003742647931193,True,9,"[0.5941616818052167, 0.011512079651405785, 0.315]",False
True,590,0.012370318312499,"[0.5788747576823083, -0.20536681199557566, 0.31461887840225067]",0.0108429285553588,0.0053201629626503,0.0120777992037363,True,True,,0.0034155671370896,"[0.6368005128886927, -0.11692727596834125, 0.315]",True,,0.0004501652311595,True,10,"[0.5680318291269495, -0.21068697495822605, 0.315]",False
False,0,,,,,,False,False,ArUco goal capture failed closed before PPO: seed=11; reason=insufficient_valid_frames:0/8;failures={'marker_not_detected': 30}; failures={'marker_not_detected': 30},,,False,not_attempted_after_goal_fail_closed,,False,11,,False
True,372,0.0094777546076047,"[0.3934280474000075, 0.12916828175968648, 0.3210313982486551]",0.0038194680294037,0.0092885562753763,0.0100431874277278,True,True,,0.000570089791447,"[0.42524733743253385, 0.17870117714376982, 0.315]",True,,0.0017930536274021,True,12,"[0.3972475154294112, 0.11987972548431014, 0.315]",False
