mode,level_mm_per_axis_sigma,success_rate,reach_success_rate,grasp_success_rate,lift_success_rate,place_success_rate,mean_return,failure_stage_counts,actual_3d_error_mean_m,actual_3d_error_p95_m,actual_3d_error_max_m
fixed,0.0,1.0,1.0,1.0,1.0,1.0,3411.1027288561722,"{""none"": 20}",0.0,0.0,0.0
fixed,2.0,0.95,1.0,0.95,0.95,0.95,3232.9976860969027,"{""none"": 19, ""grasp"": 1}",0.0034606794397345586,0.005371147086807459,0.005371147086807459
fixed,5.0,0.75,1.0,0.75,0.75,0.75,2453.654610988695,"{""none"": 15, ""grasp"": 5}",0.008921009883291909,0.013427867717018647,0.013427867717018647
fixed,10.0,0.45,0.95,0.45,0.45,0.45,1295.9225582999127,"{""none"": 9, ""grasp"": 10, ""reach"": 1}",0.018003861078903803,0.026647319198646446,0.026855735434037294
fixed,15.0,0.25,0.7,0.25,0.25,0.25,465.7663090278429,"{""none"": 5, ""grasp"": 9, ""reach"": 6}",0.02773257096609114,0.04028360315105595,0.04028360315105595
fixed,20.0,0.1,0.6,0.1,0.1,0.1,-121.59983052939756,"{""grasp"": 10, ""reach"": 8, ""none"": 2}",0.036079679657250174,0.05371147086807459,0.05371147086807459
fixed,30.0,0.1,0.25,0.1,0.1,0.1,-222.67814465985666,"{""reach"": 15, ""grasp"": 3, ""none"": 2}",0.05252435276163745,0.0805672063021119,0.0805672063021119
jitter,0.0,1.0,1.0,1.0,1.0,1.0,3411.1027288561722,"{""none"": 20}",0.0,0.0,0.0
jitter,2.0,1.0,1.0,1.0,1.0,1.0,3412.7000265239694,"{""none"": 20}",0.003193675103834146,0.005623498898155043,0.009156546664909246
jitter,5.0,1.0,1.0,1.0,1.0,1.0,3413.7695316783115,"{""none"": 20}",0.00798296533490208,0.0140583625386079,0.02289136666227311
jitter,10.0,1.0,1.0,1.0,1.0,1.0,3412.576651973436,"{""none"": 20}",0.015968702294454514,0.028120640230845925,0.04578273332454622
jitter,15.0,0.9,1.0,0.9,0.9,0.9,3046.6063640062853,"{""none"": 18, ""grasp"": 2}",0.02396103624370968,0.04217739585650195,0.06867409998681932
jitter,20.0,0.85,1.0,0.85,0.85,0.85,2856.901266250811,"{""none"": 17, ""grasp"": 3}",0.031892692664311315,0.05616256427397149,0.09156546664909244
jitter,30.0,0.7,1.0,0.7,0.7,0.7,2304.7604871474505,"{""grasp"": 6, ""none"": 14}",0.04784898434293404,0.08427147646617227,0.13734819997363865
