group,index,valid,hsv_detected,failure_reason,camera_world_position,estimated_object_center_color,estimated_object_center_base,truth_object_center_base_test_only,error_xyz_base_m_test_only,error_3d_m_test_only
random_position,0,True,True,,"[0.32346310042455556, -0.02244528097083412, 0.4044703078312602]","[-0.006491623541681012, 0.00891302967261857, 0.08951377013656443]","[-0.3157752825237843, 0.030846307840006772, 0.31500177413543173]","[-0.31601277531062044, 0.031249632740620772, 0.315]","[0.0002374927868361576, -0.0004033249006140001, 1.7741354317313274e-06]",0.0004680565636875823
random_position,1,True,True,,"[0.32346310042455556, -0.02244528097083412, 0.4044703078312602]","[-0.028711711679134524, -0.00718846068455425, 0.08990324178668803]","[-0.29355590299686163, 0.01473913027568896, 0.31500073746345597]","[-0.29363683263477647, 0.01473634791737659, 0.315]","[8.092963791483943e-05, 2.782358312370878e-06, 7.37463455968701e-07]",8.098081046244427e-05
random_position,2,True,True,,"[0.32346310042455556, -0.02244528097083412, 0.4044703078312602]","[-0.0166639532895272, 0.0013535196376219505, 0.08969387302133387]","[-0.3056032990265951, 0.023284186986648022, 0.31500057024958306]","[-0.30565566153034224, 0.023400750638271905, 0.315]","[5.236250374712759e-05, -0.00011656365162388341, 5.702495830539611e-07]",0.0001277859220068822
random_position,3,True,True,,"[0.32346310042455556, -0.02244528097083412, 0.4044703078312602]","[-0.006010410020684863, 0.007298965788768663, 0.08951599040958232]","[-0.3162568171830014, 0.029232338305380714, 0.31500233700487523]","[-0.3165679451896252, 0.02942314193225166, 0.315]","[0.00031112800662380646, -0.00019080362687094732, 2.337004875230253e-06]",0.00036498235864846663
random_position,4,True,True,,"[0.32346310042455556, -0.02244528097083412, 0.4044703078312602]","[-0.033802400999808364, 0.002045441710987295, 0.08991878369781321]","[-0.2884632078017487, 0.023971939617531926, 0.31500047695734235]","[-0.28846759748567896, 0.02391509106934079, 0.315]","[4.389683930239308e-06, 5.684854819113655e-05, 4.769573423435425e-07]",5.7019770648028666e-05
random_position,5,True,True,,"[0.32346310042455556, -0.02244528097083412, 0.4044703078312602]","[-0.021274497397363736, -0.0002593960527146376, 0.08976462000939196]","[-0.3009926148524054, 0.021670120514471196, 0.31500056470168697]","[-0.30099751075003617, 0.021714485277570042, 0.315]","[4.895897630752266e-06, -4.436476309884613e-05, 5.647016869669841e-07]",4.463766242113052e-05
random_position,6,True,True,,"[0.32346310042455556, -0.02244528097083412, 0.4044703078312602]","[-0.007179476572749755, 0.00708550453862977, 0.08953308204147166]","[-0.31508767873966476, 0.029018586907454735, 0.31500206766227984]","[-0.3154696604591596, 0.029373574611964222, 0.315]","[0.0003819817194948283, -0.0003549877045094865, 2.0676622798365685e-06]",0.0005214696344068786
random_position,7,True,True,,"[0.32346310042455556, -0.02244528097083412, 0.4044703078312602]","[-0.018928382067393643, 0.008245948617609406, 0.08968449646565264]","[-0.3033375161848832, 0.03017617732942869, 0.31500085872657607]","[-0.30333884269936906, 0.030243306801049325, 0.315]","[1.3265144858665145e-06, -6.712947162063401e-05, 8.587265760695573e-07]",6.714806782089243e-05
random_position,8,True,True,,"[0.32346310042455556, -0.02244528097083412, 0.4044703078312602]","[-0.02842456731448219, 0.009635007499251431, 0.08980347106191462]","[-0.2938402503653964, 0.03156294180544495, 0.31500071620051745]","[-0.29391679152586864, 0.03152003667648972, 0.315]","[7.654116047223214e-05, 4.290512895523124e-05, 7.16200517447696e-07]",8.774914404301734e-05
random_position,9,True,True,,"[0.32346310042455556, -0.02244528097083412, 0.4044703078312602]","[-0.014143471019904534, -0.0016377222420529613, 0.0896778132948572]","[-0.30812450058828333, 0.02029350827070913, 0.31500004834080175]","[-0.30809416607449364, 0.02046384775236359, 0.315]","[-3.0334513789698203e-05, -0.0001703394816544579, 4.834080175042388e-08]",0.00017301943264847418
