seed,mode,rgbd_valid,rgbd_failure_reason,full_success,reach_success,grasp_success,lift_success,entered_place,place_success,episode_steps,episode_return,visual_error_m,visual_xy_error_m,capture_distance_m,object_cycle_displacement_m,grasp_visual_xy_error_m,min_grasp_xy_error_m,grasp_horizontal_drift_m,final_goal_xy_error_m,ik_nonconverged_calls,ik_calls,dq_clip_rate,max_joint_velocity_rad_s,max_actuator_force_n,robot_table_contact_steps,object_dropped,object_fling,gripper_opened,release_failed,max_runtime_estimator_error_m_evaluator_only,first_action_delta_vs_truth,object_source_checked_steps,object_source_consistency_failures,object_source_consistent,object_source_consumer_counts,object_estimate_source_counts,initial_object_xyz,initial_goal_xyz,tcp_tracking_reach_mean_m,tcp_tracking_reach_max_m,tcp_tracking_grasp_mean_m,tcp_tracking_grasp_max_m,tcp_tracking_lift_mean_m,tcp_tracking_lift_max_m,tcp_tracking_place_mean_m,tcp_tracking_place_max_m,failure_class
0,ground_truth,True,,True,True,True,True,True,True,463,3263.1768954959666,0.0006281598278282374,0.0006280476317142248,0.13732074940481415,2.909242593751582e-05,0.0036395053907720687,0.004093244604261229,0.004235401911767677,0.0068062699966228955,0,463,0.3616724738675958,0.5409792331838746,41.46094196882677,0,False,False,True,False,0.004712554038055605,,463,0,True,"{'ppo_observation': 463, 'reach_safety': 642, 'grasp_safety': 66, 'place_servo': 79, 'place_descent': 160, 'place_release': 37}",{'ground_truth_simulation': 1447},"[0.5410885061964363, -0.09208531449445188, 0.315]","[0.48809764141586737, -0.09760808111499739, 0.315]",0.02731485359768353,0.02826633622078152,0.01520719288428871,0.02910254369225124,0.028161294474990817,0.02864753051025957,0.011928390429709638,0.016015917274848267,success
1,ground_truth,True,,True,True,True,True,True,True,375,3268.9787689435707,0.0008829987492769091,0.0008829986975384088,0.14895225721530614,2.909242593751582e-05,0.0013995493598938141,0.0006957073806991472,0.0018256283227633847,0.004178857351029111,0,375,0.3511111111111111,0.41792693331627884,27.827309194723966,0,False,False,True,False,0.003080659727245367,,375,0,True,"{'ppo_observation': 375, 'reach_safety': 510, 'grasp_safety': 58, 'place_servo': 63, 'place_descent': 110, 'place_release': 39}",{'ground_truth_simulation': 1155},"[0.503546487410077, 0.18018547853037414, 0.315]","[0.4451888057286005, 0.1996960564749961, 0.315]",0.02732742861019047,0.028270083971897644,0.01377365569533889,0.02635113870090602,0.027916681350931328,0.028106447715119,0.012430822732588633,0.01610896965224593,success
2,ground_truth,True,,True,True,True,True,True,True,528,3724.930855812833,0.0007816310804638513,0.0007816054365780557,0.16029140036206793,2.909242593751582e-05,0.003368714113072792,0.0037394035429805816,0.004132281571729165,0.008525639456290408,0,528,0.3118844386080105,0.5409873315333257,28.490767571151082,0,False,False,True,False,0.0044257758220331836,,528,0,True,"{'ppo_observation': 528, 'reach_safety': 566, 'grasp_safety': 68, 'place_servo': 185, 'place_descent': 470, 'place_release': 45}",{'ground_truth_simulation': 1862},"[0.4284836402747949, -0.08060354263435068, 0.315]","[0.3320190742271971, -0.1434633882000155, 0.315]",0.027298603326698277,0.02826551915704543,0.014965769024378772,0.02698239917170822,0.027363343029483622,0.027856076938702654,0.009162356711913776,0.015929213614883083,success
3,ground_truth,True,,True,True,True,True,True,True,463,3429.178955085896,0.0001540677195734872,0.00015358771387274036,0.1812567494694627,2.909242593751582e-05,0.005249989738998584,0.0027601869336643515,0.005119564243050443,0.008406164978743712,0,463,0.34218077474892394,0.5409910838216678,26.079587841170905,0,False,False,True,False,0.005784103517748242,,463,0,True,"{'ppo_observation': 463, 'reach_safety': 578, 'grasp_safety': 72, 'place_servo': 114, 'place_descent': 263, 'place_release': 39}",{'ground_truth_simulation': 1529},"[0.3756947501430873, -0.10527579736156012, 0.315]","[0.47492712933611037, -0.048953585399220095, 0.315]",0.02723583235646948,0.0282650811400976,0.013689733194439066,0.026772273454404402,0.027325341161676953,0.02771553745076358,0.012084693158888011,0.016193302554984346,success
4,ground_truth,True,,True,True,True,True,True,True,575,3601.6680415441124,0.0007735352583441862,0.0007731518567163025,0.16069728767460714,2.909242593751582e-05,0.0031957440173254613,0.0006728386322488926,0.0029054865564836028,0.006831238114812348,0,575,0.32294787297783106,0.49271930047523754,32.90302994159492,0,False,False,True,False,0.004475482226390586,,575,0,True,"{'ppo_observation': 575, 'reach_safety': 662, 'grasp_safety': 60, 'place_servo': 178, 'place_descent': 455, 'place_release': 39}",{'ground_truth_simulation': 1969},"[0.6329168316717103, 0.004531021125744633, 0.315]","[0.5209881030878145, -0.057770188413326456, 0.315]",0.02733994926891908,0.028266710964038638,0.013094344520162325,0.025402117486093393,0.02839308067913455,0.02858853483090863,0.013913970276509272,0.0183280951010589,success
5,ground_truth,True,,True,True,True,True,True,True,472,3430.5615180123964,0.0008303794615431427,0.0008302297126489252,0.10852623780208953,2.909242593757133e-05,0.0013885360393201189,0.0008945180483542144,0.001026910495995313,0.008042968828306829,0,472,0.3333333333333333,0.41559895183649387,30.094489196696486,0,False,False,True,False,0.0030628909359537277,,472,0,True,"{'ppo_observation': 472, 'reach_safety': 588, 'grasp_safety': 58, 'place_servo': 116, 'place_descent': 275, 'place_release': 33}",{'ground_truth_simulation': 1542},"[0.5915008771236141, 0.12317631589459749, 0.315]","[0.6118492487873953, 0.03424862034537329, 0.315]",0.027346044101544092,0.02827016952170022,0.01298700989819384,0.02605460219139202,0.028177148270979998,0.02836847930330915,0.014072368714144405,0.01740436930814361,success
6,ground_truth,True,,True,True,True,True,True,True,466,3357.9529320000074,0.0009686790036437773,0.0009686781540262396,0.11874984795740749,2.909242593751582e-05,0.002471247547592069,0.004339563880343322,0.0029525135451859323,0.008429750005445087,0,466,0.3488700564971751,0.5409791115054842,31.87317999628067,0,False,False,True,False,0.0039420732465863025,,466,0,True,"{'ppo_observation': 466, 'reach_safety': 610, 'grasp_safety': 64, 'place_servo': 101, 'place_descent': 230, 'place_release': 33}",{'ground_truth_simulation': 1504},"[0.511449305441583, -0.06269165207466462, 0.315]","[0.5675041557711049, -0.11910210933956422, 0.315]",0.027307810208609798,0.028266152738311703,0.014567949855848217,0.026590901558818242,0.027916828594667573,0.028111858535418817,0.012563759048624173,0.01553053712035543,success
7,ground_truth,True,,True,True,True,True,True,True,477,3586.8050664985476,0.000994328169235474,0.0009942208600591256,0.12172330575155503,2.909242593751582e-05,0.00037080170952984485,6.4736748031128e-05,0.0008666835255184079,0.007345836692138549,0,477,0.3106508875739645,0.41865065483901,25.313313404219116,0,False,False,True,False,0.002654648047564193,,477,0,True,"{'ppo_observation': 477, 'reach_safety': 540, 'grasp_safety': 56, 'place_servo': 149, 'place_descent': 368, 'place_release': 39}",{'ground_truth_simulation': 1629},"[0.5375286399814001, 0.15888552038783021, 0.315]","[0.5201434919848835, 0.04818752037234572, 0.315]",0.027334163021526046,0.028270310689035513,0.013070866508156942,0.026304059405976517,0.027925514493730198,0.0282245331040793,0.012360245081034848,0.01603793697199455,success
8,ground_truth,True,,True,True,True,True,True,True,362,3326.2230337012097,0.0010986210239379633,0.0010985168046870313,0.16969308714614864,2.909242593751582e-05,0.0020416548162826916,0.0010600935124454637,0.0030980333717897665,0.00672766060886566,0,362,0.3510540788267644,0.4276491131951791,21.571050106741495,0,False,False,True,False,0.003061754615967798,,362,0,True,"{'ppo_observation': 362, 'reach_safety': 468, 'grasp_safety': 60, 'place_servo': 72, 'place_descent': 137, 'place_release': 39}",{'ground_truth_simulation': 1138},"[0.44809168298166824, 0.19491073733517023, 0.315]","[0.4299838496204842, 0.2682038700945484, 0.315]",0.027312439633778662,0.028266357156734548,0.014194159689937222,0.026453305648619745,0.02771447088827255,0.027953719541749304,0.012575628598729079,0.016173401578110317,success
9,ground_truth,True,,True,True,True,True,True,True,503,3267.797759382225,0.0013194348203396397,0.0013194304356833632,0.18020926354755507,2.909242593751582e-05,0.004795309397773689,0.0015612354663642124,0.004242920391911041,0.006803658290802649,0,503,0.36123631680618157,0.5409755626965331,34.26326147954387,0,False,False,True,False,0.005705395346629165,,503,0,True,"{'ppo_observation': 503, 'reach_safety': 688, 'grasp_safety': 64, 'place_servo': 92, 'place_descent': 203, 'place_release': 33}",{'ground_truth_simulation': 1583},"[0.6110747611910254, -0.08527311636497786, 0.315]","[0.5941616818052167, 0.011512079651405785, 0.315]",0.02732826562908202,0.028266713700019125,0.013832914309062486,0.026163339822986097,0.02844133530925374,0.0285522114308682,0.015409854488673937,0.018460532240478344,success
