seed,mode,rgbd_valid,rgbd_failure_reason,full_success,reach_success,grasp_success,lift_success,entered_place,place_success,episode_steps,episode_return,visual_error_m,visual_xy_error_m,capture_distance_m,object_cycle_displacement_m,grasp_visual_xy_error_m,min_grasp_xy_error_m,grasp_horizontal_drift_m,final_goal_xy_error_m,ik_nonconverged_calls,ik_calls,dq_clip_rate,max_joint_velocity_rad_s,max_actuator_force_n,robot_table_contact_steps,object_dropped,object_fling,gripper_opened,release_failed,max_runtime_estimator_error_m_evaluator_only,first_action_delta_vs_truth,object_source_checked_steps,object_source_consistency_failures,object_source_consistent,object_source_consumer_counts,object_estimate_source_counts,initial_object_xyz,initial_goal_xyz,tcp_tracking_reach_mean_m,tcp_tracking_reach_max_m,tcp_tracking_grasp_mean_m,tcp_tracking_grasp_max_m,tcp_tracking_lift_mean_m,tcp_tracking_lift_max_m,tcp_tracking_place_mean_m,tcp_tracking_place_max_m,failure_class
0,rgbd,True,,True,True,True,True,True,True,455,3233.221229525925,0.0006281598278282374,0.0006280476317142248,0.13504500830925675,2.909242593751582e-05,0.0023568355428351746,0.003466644922064701,0.002929732774633273,0.00855129387122841,0,455,0.36485532815808047,0.5409817252156819,32.65226390608677,0,False,False,True,False,0.003929985573168124,,455,0,True,"{'ppo_observation': 455, 'reach_safety': 642, 'grasp_safety': 62, 'place_servo': 73, 'place_descent': 140, 'place_release': 39}","{'rgbd_visual_hold': 1056, 'tcp_fk_propagated': 355}","[0.5410885061964363, -0.09208531449445188, 0.315]","[0.48809764141586737, -0.09760808111499739, 0.315]",0.02731485617282603,0.028266078258264538,0.014220943995403494,0.02649041765059853,0.02801170762329672,0.028280239340976773,0.011905869096803967,0.015686355799098713,success
1,rgbd,True,,True,True,True,True,True,True,375,3270.7794959020903,0.0008829987492769091,0.0008829986975384088,0.1497783177913493,2.909242593751582e-05,0.001652709733765012,0.0013930817921385308,0.002205422598551753,0.0037768443679669673,0,375,0.352,0.4195171785981676,27.080111585662962,0,False,False,True,False,0.0030937543715019167,,375,0,True,"{'ppo_observation': 375, 'reach_safety': 510, 'grasp_safety': 58, 'place_servo': 63, 'place_descent': 110, 'place_release': 39}","{'rgbd_visual_hold': 852, 'tcp_fk_propagated': 303}","[0.503546487410077, 0.18018547853037414, 0.315]","[0.4451888057286005, 0.1996960564749961, 0.315]",0.027325762777221894,0.028270012748542864,0.01370829575495138,0.02635354703939761,0.02790839859232299,0.028103466599997073,0.012383317791451772,0.01611596531046198,success
2,rgbd,True,,True,True,True,True,True,True,515,3662.974944573273,0.0007816310804638513,0.0007816054365780557,0.15744507167794689,2.909242593751582e-05,0.0032265598236646286,0.0032452038364527494,0.003989708818233009,0.010571169672136217,0,515,0.31730126920507684,0.5409886041529558,28.65575452439043,0,False,False,True,False,0.004324580695357519,,515,0,True,"{'ppo_observation': 515, 'reach_safety': 566, 'grasp_safety': 68, 'place_servo': 172, 'place_descent': 429, 'place_release': 47}","{'rgbd_visual_hold': 951, 'tcp_fk_propagated': 846}","[0.4284836402747949, -0.08060354263435068, 0.315]","[0.3320190742271971, -0.1434633882000155, 0.315]",0.027298624077983776,0.02826538471251155,0.014859141512988156,0.02698610292536419,0.027312688488566553,0.027864387105942266,0.009435950918258964,0.01595446354206013,success
3,rgbd,True,,True,True,True,True,True,True,473,3491.5158645952297,0.0001540677195734872,0.00015358771387274036,0.18306148634217306,2.909242593751582e-05,0.0047026697334228255,0.00310657022916325,0.0045680332891682475,0.006844394032669494,0,473,0.33828733191790517,0.5409936939305168,22.179893434715268,0,False,False,True,False,0.005171321046818836,,473,0,True,"{'ppo_observation': 473, 'reach_safety': 578, 'grasp_safety': 72, 'place_servo': 124, 'place_descent': 291, 'place_release': 41}","{'rgbd_visual_hold': 975, 'tcp_fk_propagated': 604}","[0.3756947501430873, -0.10527579736156012, 0.315]","[0.47492712933611037, -0.048953585399220095, 0.315]",0.027237295821401032,0.02826481404699667,0.01318624697965556,0.02677176737653881,0.02720475238129609,0.027711646526404083,0.011877981227509458,0.016145234793583613,success
4,rgbd,True,,True,True,True,True,True,True,565,3548.1711015538194,0.0007735352583441862,0.0007731518567163025,0.15898452637730962,2.909242593751582e-05,0.0030322851544754125,0.0004092429461525025,0.0027620359662430772,0.009705827209529035,0,565,0.32645631067961167,0.4931785786783016,32.9442361823144,0,False,False,True,False,0.004389113926932073,,565,0,True,"{'ppo_observation': 565, 'reach_safety': 662, 'grasp_safety': 60, 'place_servo': 168, 'place_descent': 425, 'place_release': 39}","{'rgbd_visual_hold': 1083, 'tcp_fk_propagated': 836}","[0.6329168316717103, 0.004531021125744633, 0.315]","[0.5209881030878145, -0.057770188413326456, 0.315]",0.02734010334544042,0.028266178329935776,0.012954605018837332,0.02552214983826071,0.028352804943687096,0.028572501627051623,0.014037200575621397,0.01806065282308573,success
5,rgbd,True,,True,True,True,True,True,True,469,3422.3166764762286,0.0008303794615431427,0.0008302297126489252,0.10843342009730171,2.909242593757133e-05,0.0013192696978820558,0.0004851151757157408,0.0008258832749939472,0.00849866912956426,0,469,0.33478893740902477,0.41572952931984564,30.195594219404484,0,False,False,True,False,0.0030633998736699446,,469,0,True,"{'ppo_observation': 469, 'reach_safety': 588, 'grasp_safety': 56, 'place_servo': 114, 'place_descent': 269, 'place_release': 33}","{'rgbd_visual_hold': 966, 'tcp_fk_propagated': 563}","[0.5915008771236141, 0.12317631589459749, 0.315]","[0.6118492487873953, 0.03424862034537329, 0.315]",0.027344627812842876,0.02826979068462664,0.012883160382356542,0.025927142704570565,0.028147767876194246,0.028395333497808883,0.014090979574165738,0.01749752471732187,success
6,rgbd,True,,True,True,True,True,True,True,465,3364.4655166428256,0.0009686790036437773,0.0009686781540262396,0.11698884992065063,2.909242593751582e-05,0.0019878111852682824,0.0035544157720528427,0.0024804249808220327,0.008470661347519278,0,465,0.3491166077738516,0.5409793207086249,29.269028946397157,0,False,False,True,False,0.0035859073755653064,,465,0,True,"{'ppo_observation': 465, 'reach_safety': 610, 'grasp_safety': 62, 'place_servo': 101, 'place_descent': 228, 'place_release': 35}","{'rgbd_visual_hold': 1008, 'tcp_fk_propagated': 493}","[0.511449305441583, -0.06269165207466462, 0.315]","[0.5675041557711049, -0.11910210933956422, 0.315]",0.02730785162878045,0.028266124495816,0.014294325981835797,0.026596786545870516,0.027819680438151556,0.028095403732932775,0.012576123426979849,0.015556984425632296,success
7,rgbd,True,,True,True,True,True,True,True,476,3581.6020000912854,0.000994328169235474,0.0009942208600591256,0.12137893282547331,2.909242593751582e-05,0.0004171293980929177,0.0007920153752200784,0.0013272755139616043,0.007760590042971685,0,476,0.3106004447739066,0.42106487756018995,25.22366739999734,0,False,False,True,False,0.002765286863646182,,476,0,True,"{'ppo_observation': 476, 'reach_safety': 540, 'grasp_safety': 56, 'place_servo': 148, 'place_descent': 365, 'place_release': 39}","{'rgbd_visual_hold': 894, 'tcp_fk_propagated': 730}","[0.5375286399814001, 0.15888552038783021, 0.315]","[0.5201434919848835, 0.04818752037234572, 0.315]",0.027331688649476354,0.028269970273296405,0.013248974330410055,0.026304874927606987,0.027941007516106873,0.028203422655978257,0.012381371163558487,0.015809574593230378,success
8,rgbd,True,,True,True,True,True,True,True,364,3342.2153752501185,0.0010986210239379633,0.0010985168046870313,0.172428890955225,2.909242593751582e-05,0.0033982100372438664,0.0011892375667879281,0.004481026053749175,0.006008864268177125,0,364,0.3491773308957952,0.4275408842518506,20.504642259877073,0,False,False,True,False,0.00395903434406842,,364,0,True,"{'ppo_observation': 364, 'reach_safety': 468, 'grasp_safety': 60, 'place_servo': 74, 'place_descent': 143, 'place_release': 39}","{'rgbd_visual_hold': 792, 'tcp_fk_propagated': 356}","[0.44809168298166824, 0.19491073733517023, 0.315]","[0.4299838496204842, 0.2682038700945484, 0.315]",0.02730985083274116,0.02826602389335554,0.014228314688068964,0.02645716364848502,0.027662995047611962,0.027952386683045245,0.01253231622157352,0.016151874562318674,success
9,rgbd,True,,True,True,True,True,True,True,502,3282.698384112187,0.0013194348203396397,0.0013194304356833632,0.1799018943795703,2.909242593751582e-05,0.0032420175061579986,0.0019325829589570626,0.0027401800854376743,0.007366842697225598,0,502,0.36046511627906974,0.5409748280057791,31.27446777532623,0,False,False,True,False,0.0043039037650296035,,502,0,True,"{'ppo_observation': 502, 'reach_safety': 686, 'grasp_safety': 62, 'place_servo': 93, 'place_descent': 204, 'place_release': 35}","{'rgbd_visual_hold': 1122, 'tcp_fk_propagated': 460}","[0.6110747611910254, -0.08527311636497786, 0.315]","[0.5941616818052167, 0.011512079651405785, 0.315]",0.02732789758301265,0.02826678295734397,0.013517772655815368,0.026211317451285826,0.028335758978559288,0.02847397124744214,0.015244185100692819,0.018158896999236628,success
