seed,mode,latch_physics,rgbd_valid,episode_steps,episode_return,full_success,reach_success,grasp_success,lift_success,entered_place,place_success,supervisor_grasp_confirmed,supervisor_task_complete,supervisor_failed,supervisor_failure_reason,sim_latch_ever,empty_grasp_confirmation,object_dropped,hold_lost_or_unlatched,max_tracker_truth_error_m_evaluator_only,source_consistency_failures,supervisor_events,privileged_events,sim_latch_first_step,privileged_release_first_step,initial_object_xyz,initial_goal_xyz,final_goal_xy_m,supervisor_stage,supervisor_grasp_phase,supervisor_last_diagnostics,final_gripper_state
0,privileged_fsm,True,True,455,3233.221229525925,True,True,True,True,True,True,True,False,False,,True,False,False,False,0.003929985573168124,0,"{'reach_to_grasp': 321, 'grasp_confirmed': 358, 'grasp_to_lift': 358, 'lift_to_place': 381, 'release_commanded': 441}","{'reach_to_grasp': 321, 'grasp_to_lift': 352, 'lift_to_place': 382}",352,442,"[0.5410885061964363, -0.09208531449445188, 0.315]","[0.48809764141586737, -0.09760808111499739, 0.315]",0.00855129387122841,5,3,"{'pregrasp_ready': False, 'grasp_xy_error': 0.004395428654931936, 'grasp_z_error': 0.007902127918985313, 'stable_geometry': True, 'gripper_stopped': False, 'blocked_before_full_close': True, 'effort_contact': True, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.005585532409578098, 'goal_xy': 0.006262019319688825, 'stage_changed': False}","{'commanded_opening': 0.8600000000000001, 'actual_opening': 0.7598335356501088, 'velocity': 1.5674679595338799, 'motion_status': 'moving', 'actuator_effort': -1.3992713075095482, 'fault': False, 'grasp_hold_confidence': 1.0, 'timestamp': 12.46000000000083, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
1,privileged_fsm,True,True,375,3270.7794959020903,True,True,True,True,True,True,True,False,False,,True,False,False,False,0.0036627274072882155,0,"{'reach_to_grasp': 255, 'grasp_confirmed': 290, 'grasp_to_lift': 290, 'lift_to_place': 312, 'release_commanded': 361}","{'reach_to_grasp': 255, 'grasp_to_lift': 284, 'lift_to_place': 312}",284,362,"[0.503546487410077, 0.18018547853037414, 0.315]","[0.4451888057286005, 0.1996960564749961, 0.315]",0.0037768443679669673,5,3,"{'pregrasp_ready': False, 'grasp_xy_error': 0.0010113363179605026, 'grasp_z_error': 0.0074463678366831765, 'stable_geometry': True, 'gripper_stopped': False, 'blocked_before_full_close': True, 'effort_contact': True, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.006530072164666112, 'goal_xy': 0.004184963460519683, 'stage_changed': False}","{'commanded_opening': 0.8600000000000001, 'actual_opening': 0.7598313661446577, 'velocity': 1.567502613223905, 'motion_status': 'moving', 'actuator_effort': -1.3993016354438383, 'fault': False, 'grasp_hold_confidence': 1.0, 'timestamp': 10.860000000000296, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
2,privileged_fsm,True,True,515,3662.974944573273,True,True,True,True,True,True,True,False,False,,True,False,False,False,0.00451698678177503,0,"{'reach_to_grasp': 283, 'grasp_confirmed': 323, 'grasp_to_lift': 323, 'lift_to_place': 342, 'release_commanded': 501}","{'reach_to_grasp': 283, 'grasp_to_lift': 317, 'lift_to_place': 343}",317,502,"[0.4284836402747949, -0.08060354263435068, 0.315]","[0.3320190742271971, -0.1434633882000155, 0.315]",0.010571169672136217,5,3,"{'pregrasp_ready': False, 'grasp_xy_error': 0.002500341028591523, 'grasp_z_error': 0.004833159853544711, 'stable_geometry': True, 'gripper_stopped': False, 'blocked_before_full_close': True, 'effort_contact': True, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.00848169376623309, 'goal_xy': 0.008175953407632795, 'stage_changed': False}","{'commanded_opening': 0.8600000000000001, 'actual_opening': 0.7597458120843023, 'velocity': 1.568915953534704, 'motion_status': 'moving', 'actuator_effort': -1.400499015467962, 'fault': False, 'grasp_hold_confidence': 1.0, 'timestamp': 13.660000000001231, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
3,privileged_fsm,True,True,473,3491.5158645952297,True,True,True,True,True,True,True,False,False,,True,False,False,False,0.006337829195409361,0,"{'reach_to_grasp': 289, 'grasp_confirmed': 331, 'grasp_to_lift': 331, 'lift_to_place': 349, 'release_commanded': 459}","{'reach_to_grasp': 289, 'grasp_to_lift': 325, 'lift_to_place': 349}",325,460,"[0.3756947501430873, -0.10527579736156012, 0.315]","[0.47492712933611037, -0.048953585399220095, 0.315]",0.006844394032669494,5,3,"{'pregrasp_ready': False, 'grasp_xy_error': 0.003021883497316525, 'grasp_z_error': 0.004883191021949118, 'stable_geometry': True, 'gripper_stopped': False, 'blocked_before_full_close': True, 'effort_contact': True, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.006131683911540786, 'goal_xy': 0.008085049543540626, 'stage_changed': False}","{'commanded_opening': 0.8600000000000001, 'actual_opening': 0.7598245611380475, 'velocity': 1.5676113086556909, 'motion_status': 'moving', 'actuator_effort': -1.3993967638960303, 'fault': False, 'grasp_hold_confidence': 1.0, 'timestamp': 12.82000000000095, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
4,privileged_fsm,True,True,565,3548.1711015538194,True,True,True,True,True,True,True,False,False,,True,False,False,False,0.004389113926932073,0,"{'reach_to_grasp': 331, 'grasp_confirmed': 368, 'grasp_to_lift': 368, 'lift_to_place': 396, 'release_commanded': 551}","{'reach_to_grasp': 331, 'grasp_to_lift': 361, 'lift_to_place': 397}",361,552,"[0.6329168316717103, 0.004531021125744633, 0.315]","[0.5209881030878145, -0.057770188413326456, 0.315]",0.009705827209529035,5,3,"{'pregrasp_ready': False, 'grasp_xy_error': 0.0037354067891733015, 'grasp_z_error': 0.010323917507832403, 'stable_geometry': True, 'gripper_stopped': False, 'blocked_before_full_close': True, 'effort_contact': True, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.005333879261222141, 'goal_xy': 0.006753266050255713, 'stage_changed': False}","{'commanded_opening': 0.8600000000000001, 'actual_opening': 0.7598131857902763, 'velocity': 1.5678073595639344, 'motion_status': 'moving', 'actuator_effort': -1.3995562126181884, 'fault': False, 'grasp_hold_confidence': 1.0, 'timestamp': 14.660000000001565, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
5,privileged_fsm,True,True,469,3422.3166764762286,True,True,True,True,True,True,True,False,False,,True,False,False,False,0.0036476308666786895,0,"{'reach_to_grasp': 294, 'grasp_confirmed': 328, 'grasp_to_lift': 328, 'lift_to_place': 354, 'release_commanded': 455}","{'reach_to_grasp': 294, 'grasp_to_lift': 322, 'lift_to_place': 355}",322,456,"[0.5915008771236141, 0.12317631589459749, 0.315]","[0.6118492487873953, 0.03424862034537329, 0.315]",0.00849866912956426,5,3,"{'pregrasp_ready': False, 'grasp_xy_error': 0.0036519863624501193, 'grasp_z_error': 0.010403054820840307, 'stable_geometry': True, 'gripper_stopped': False, 'blocked_before_full_close': True, 'effort_contact': True, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0029461483784399833, 'goal_xy': 0.008060401616965227, 'stage_changed': False}","{'commanded_opening': 0.8600000000000001, 'actual_opening': 0.7598073961477798, 'velocity': 1.5679098345454092, 'motion_status': 'moving', 'actuator_effort': -1.3996374470413366, 'fault': False, 'grasp_hold_confidence': 1.0, 'timestamp': 12.740000000000924, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
6,privileged_fsm,True,True,465,3364.4655166428256,True,True,True,True,True,True,True,False,False,,True,False,False,False,0.0041118331436712785,0,"{'reach_to_grasp': 305, 'grasp_confirmed': 342, 'grasp_to_lift': 342, 'lift_to_place': 363, 'release_commanded': 451}","{'reach_to_grasp': 305, 'grasp_to_lift': 336, 'lift_to_place': 364}",336,452,"[0.511449305441583, -0.06269165207466462, 0.315]","[0.5675041557711049, -0.11910210933956422, 0.315]",0.008470661347519278,5,3,"{'pregrasp_ready': False, 'grasp_xy_error': 0.004163543360526862, 'grasp_z_error': 0.007480634435695299, 'stable_geometry': True, 'gripper_stopped': False, 'blocked_before_full_close': True, 'effort_contact': True, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.0032643586523201096, 'goal_xy': 0.00840509087794912, 'stage_changed': False}","{'commanded_opening': 0.8600000000000001, 'actual_opening': 0.7598566405982251, 'velocity': 1.567087251692308, 'motion_status': 'moving', 'actuator_effort': -1.3989479694747309, 'fault': False, 'grasp_hold_confidence': 1.0, 'timestamp': 12.660000000000897, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
7,privileged_fsm,True,True,476,3581.6020000912854,True,True,True,True,True,True,True,False,False,,True,False,False,False,0.003108529727448891,0,"{'reach_to_grasp': 269, 'grasp_confirmed': 305, 'grasp_to_lift': 305, 'lift_to_place': 327, 'release_commanded': 462}","{'reach_to_grasp': 270, 'grasp_to_lift': 298, 'lift_to_place': 328}",298,463,"[0.5375286399814001, 0.15888552038783021, 0.315]","[0.5201434919848835, 0.04818752037234572, 0.315]",0.007760590042971685,5,3,"{'pregrasp_ready': False, 'grasp_xy_error': 0.00210095497758303, 'grasp_z_error': 0.008529112094472713, 'stable_geometry': True, 'gripper_stopped': False, 'blocked_before_full_close': True, 'effort_contact': True, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.004875563257363769, 'goal_xy': 0.007400491092026528, 'stage_changed': False}","{'commanded_opening': 0.8600000000000001, 'actual_opening': 0.7597973798245699, 'velocity': 1.5680684220691585, 'motion_status': 'moving', 'actuator_effort': -1.3997774250303836, 'fault': False, 'grasp_hold_confidence': 1.0, 'timestamp': 12.88000000000097, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
8,privileged_fsm,True,True,364,3342.2153752501185,True,True,True,True,True,True,True,False,False,,True,False,False,False,0.0048886792670807585,0,"{'reach_to_grasp': 234, 'grasp_confirmed': 271, 'grasp_to_lift': 271, 'lift_to_place': 290, 'release_commanded': 350}","{'reach_to_grasp': 234, 'grasp_to_lift': 264, 'lift_to_place': 290}",264,351,"[0.44809168298166824, 0.19491073733517023, 0.315]","[0.4299838496204842, 0.2682038700945484, 0.315]",0.006008864268177125,5,3,"{'pregrasp_ready': False, 'grasp_xy_error': 0.002513496849547569, 'grasp_z_error': 0.006127081209547081, 'stable_geometry': True, 'gripper_stopped': False, 'blocked_before_full_close': True, 'effort_contact': True, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.005924146801929819, 'goal_xy': 0.007003933140852061, 'stage_changed': False}","{'commanded_opening': 0.8600000000000001, 'actual_opening': 0.7598275397543192, 'velocity': 1.5675650848359919, 'motion_status': 'moving', 'actuator_effort': -1.3993551658617718, 'fault': False, 'grasp_hold_confidence': 1.0, 'timestamp': 10.640000000000223, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
9,privileged_fsm,True,True,502,3282.698384112187,True,True,True,True,True,True,True,False,False,,True,False,False,False,0.004813421329857386,0,"{'reach_to_grasp': 343, 'grasp_confirmed': 381, 'grasp_to_lift': 381, 'lift_to_place': 408, 'release_commanded': 488}","{'reach_to_grasp': 343, 'grasp_to_lift': 374, 'lift_to_place': 409}",374,489,"[0.6110747611910254, -0.08527311636497786, 0.315]","[0.5941616818052167, 0.011512079651405785, 0.315]",0.007366842697225598,5,3,"{'pregrasp_ready': False, 'grasp_xy_error': 0.005044319506610696, 'grasp_z_error': 0.010761774224239407, 'stable_geometry': True, 'gripper_stopped': False, 'blocked_before_full_close': True, 'effort_contact': True, 'sensor_hold': False, 'closing_command_active': False, 'object_lift': 0.00254106699807477, 'goal_xy': 0.0062918787694503, 'stage_changed': False}","{'commanded_opening': 0.8600000000000001, 'actual_opening': 0.75987413247408, 'velocity': 1.5668000569080447, 'motion_status': 'moving', 'actuator_effort': -1.398703213307162, 'fault': False, 'grasp_hold_confidence': 1.0, 'timestamp': 13.400000000001144, 'valid': True, 'source': 'mujoco_gripper_sensor_proxy'}"
