seed,same_initial_object,same_initial_goal,privileged_success,deployable_success,outcome_identical,privileged_steps,deployable_steps
0,True,True,True,False,False,455,900
1,True,True,True,False,False,375,900
2,True,True,True,False,False,515,900
3,True,True,True,False,False,473,900
4,True,True,True,False,False,565,900
5,True,True,True,False,False,469,900
6,True,True,True,False,False,465,900
7,True,True,True,False,False,476,900
8,True,True,True,False,False,364,900
9,True,True,True,False,False,502,900
10,True,True,True,False,False,588,900
11,True,True,True,True,True,429,447
12,True,True,True,False,False,375,900
13,True,True,True,True,True,500,524
14,True,True,True,False,False,503,900
15,True,True,True,False,False,431,900
16,True,True,True,False,False,440,900
17,True,True,True,False,False,524,900
18,True,True,True,False,False,408,900
19,True,True,True,False,False,387,900
20,True,True,True,False,False,400,900
21,True,True,True,False,False,505,900
22,True,True,True,False,False,420,900
23,True,True,True,False,False,436,900
24,True,True,True,False,False,447,900
25,True,True,True,False,False,480,900
26,True,True,True,False,False,421,900
27,True,True,True,False,False,466,900
28,True,True,True,False,False,478,900
29,True,True,True,True,True,454,469
30,True,True,True,False,False,391,900
31,True,True,False,False,True,900,900
32,True,True,True,False,False,430,900
33,True,True,True,False,False,512,900
34,True,True,True,False,False,346,900
35,True,True,True,False,False,458,900
36,True,True,True,False,False,484,900
37,True,True,True,False,False,412,900
38,True,True,True,False,False,467,900
39,True,True,True,False,False,432,900
40,True,True,True,False,False,504,900
41,True,True,True,False,False,440,900
42,True,True,True,False,False,490,900
43,True,True,True,False,False,464,900
44,True,True,True,False,False,439,900
45,True,True,True,False,False,452,900
46,True,True,True,False,False,502,900
47,True,True,True,False,False,461,900
48,True,True,True,False,False,416,900
49,True,True,True,False,False,413,900
50,True,True,True,False,False,449,900
51,True,True,True,False,False,510,900
52,True,True,True,False,False,458,900
53,True,True,True,False,False,354,900
54,True,True,True,False,False,384,900
55,True,True,True,True,True,441,468
56,True,True,True,False,False,545,900
57,True,True,True,False,False,509,900
58,True,True,True,False,False,395,900
59,True,True,True,False,False,406,900
60,True,True,True,False,False,468,900
61,True,True,True,False,False,412,900
62,True,True,True,False,False,484,900
63,True,True,True,False,False,392,900
64,True,True,True,False,False,462,900
65,True,True,True,True,True,435,451
66,True,True,True,False,False,432,900
67,True,True,True,False,False,506,900
68,True,True,True,False,False,424,900
69,True,True,True,False,False,463,900
70,True,True,True,False,False,393,900
71,True,True,True,False,False,432,900
72,True,True,True,False,False,533,900
73,True,True,True,False,False,451,900
74,True,True,True,False,False,483,900
75,True,True,True,False,False,462,900
76,True,True,True,False,False,442,900
77,True,True,True,False,False,459,900
78,True,True,True,False,False,389,900
79,True,True,True,False,False,603,900
80,True,True,True,False,False,491,900
81,True,True,True,False,False,484,900
82,True,True,True,False,False,458,900
83,True,True,True,False,False,527,900
84,True,True,True,False,False,443,900
85,True,True,True,True,True,422,441
86,True,True,True,False,False,502,900
87,True,True,True,False,False,407,900
88,True,True,True,False,False,407,900
89,True,True,True,False,False,450,900
90,True,True,True,False,False,435,900
91,True,True,True,False,False,454,900
92,True,True,True,False,False,503,900
93,True,True,True,False,False,480,900
94,True,True,True,False,False,416,900
95,True,True,True,False,False,405,900
96,True,True,True,False,False,447,900
97,True,True,True,False,False,476,900
98,True,True,True,True,True,440,470
99,True,True,True,False,False,438,900
