seed,event,privileged_step,supervisor_step,delay_steps,missed,false_positive
0,reach_to_grasp,321,321,0,False,False
0,grasp_confirmed,352,358,6,False,False
0,grasp_to_lift,352,358,6,False,False
0,lift_to_place,382,381,-1,False,False
0,release_commanded,442,441,-1,False,False
0,release_complete,,,,False,False
1,reach_to_grasp,255,255,0,False,False
1,grasp_confirmed,284,290,6,False,False
1,grasp_to_lift,284,290,6,False,False
1,lift_to_place,312,312,0,False,False
1,release_commanded,362,361,-1,False,False
1,release_complete,,,,False,False
2,reach_to_grasp,283,283,0,False,False
2,grasp_confirmed,317,323,6,False,False
2,grasp_to_lift,317,323,6,False,False
2,lift_to_place,343,342,-1,False,False
2,release_commanded,502,501,-1,False,False
2,release_complete,,,,False,False
3,reach_to_grasp,289,289,0,False,False
3,grasp_confirmed,325,331,6,False,False
3,grasp_to_lift,325,331,6,False,False
3,lift_to_place,349,349,0,False,False
3,release_commanded,460,459,-1,False,False
3,release_complete,,,,False,False
4,reach_to_grasp,331,331,0,False,False
4,grasp_confirmed,361,368,7,False,False
4,grasp_to_lift,361,368,7,False,False
4,lift_to_place,397,396,-1,False,False
4,release_commanded,552,551,-1,False,False
4,release_complete,,,,False,False
5,reach_to_grasp,294,294,0,False,False
5,grasp_confirmed,322,328,6,False,False
5,grasp_to_lift,322,328,6,False,False
5,lift_to_place,355,354,-1,False,False
5,release_commanded,456,455,-1,False,False
5,release_complete,,,,False,False
6,reach_to_grasp,305,305,0,False,False
6,grasp_confirmed,336,342,6,False,False
6,grasp_to_lift,336,342,6,False,False
6,lift_to_place,364,363,-1,False,False
6,release_commanded,452,451,-1,False,False
6,release_complete,,,,False,False
7,reach_to_grasp,270,269,-1,False,False
7,grasp_confirmed,298,305,7,False,False
7,grasp_to_lift,298,305,7,False,False
7,lift_to_place,328,327,-1,False,False
7,release_commanded,463,462,-1,False,False
7,release_complete,,,,False,False
8,reach_to_grasp,234,234,0,False,False
8,grasp_confirmed,264,271,7,False,False
8,grasp_to_lift,264,271,7,False,False
8,lift_to_place,290,290,0,False,False
8,release_commanded,351,350,-1,False,False
8,release_complete,,,,False,False
9,reach_to_grasp,343,343,0,False,False
9,grasp_confirmed,374,381,7,False,False
9,grasp_to_lift,374,381,7,False,False
9,lift_to_place,409,408,-1,False,False
9,release_commanded,489,488,-1,False,False
9,release_complete,,,,False,False
10,reach_to_grasp,359,358,-1,False,False
10,grasp_confirmed,390,397,7,False,False
10,grasp_to_lift,390,397,7,False,False
10,lift_to_place,428,427,-1,False,False
10,release_commanded,575,574,-1,False,False
10,release_complete,,,,False,False
11,reach_to_grasp,250,251,1,False,False
11,grasp_confirmed,284,290,6,False,False
11,grasp_to_lift,284,290,6,False,False
11,lift_to_place,308,307,-1,False,False
11,release_commanded,416,415,-1,False,False
11,release_complete,,,,False,False
12,reach_to_grasp,230,229,-1,False,False
12,grasp_confirmed,260,269,9,False,False
12,grasp_to_lift,260,269,9,False,False
12,lift_to_place,285,285,0,False,False
12,release_commanded,362,361,-1,False,False
12,release_complete,,,,False,False
13,reach_to_grasp,297,296,-1,False,False
13,grasp_confirmed,325,332,7,False,False
13,grasp_to_lift,325,332,7,False,False
13,lift_to_place,359,359,0,False,False
13,release_commanded,487,486,-1,False,False
13,release_complete,,,,False,False
14,reach_to_grasp,333,333,0,False,False
14,grasp_confirmed,364,371,7,False,False
14,grasp_to_lift,364,371,7,False,False
14,lift_to_place,397,397,0,False,False
14,release_commanded,490,489,-1,False,False
14,release_complete,,,,False,False
15,reach_to_grasp,282,282,0,False,False
15,grasp_confirmed,310,316,6,False,False
15,grasp_to_lift,310,316,6,False,False
15,lift_to_place,340,340,0,False,False
15,release_commanded,418,417,-1,False,False
15,release_complete,,,,False,False
16,reach_to_grasp,302,302,0,False,False
16,grasp_confirmed,333,339,6,False,False
16,grasp_to_lift,333,339,6,False,False
16,lift_to_place,361,361,0,False,False
16,release_commanded,427,426,-1,False,False
16,release_complete,,,,False,False
17,reach_to_grasp,351,351,0,False,False
17,grasp_confirmed,391,,,True,False
17,grasp_to_lift,391,,,True,False
17,lift_to_place,427,,,True,False
17,release_commanded,511,,,True,False
17,release_complete,,,,False,False
18,reach_to_grasp,261,261,0,False,False
18,grasp_confirmed,290,296,6,False,False
18,grasp_to_lift,290,296,6,False,False
18,lift_to_place,316,316,0,False,False
18,release_commanded,395,394,-1,False,False
18,release_complete,,,,False,False
19,reach_to_grasp,248,247,-1,False,False
19,grasp_confirmed,277,285,8,False,False
19,grasp_to_lift,277,285,8,False,False
19,lift_to_place,304,303,-1,False,False
19,release_commanded,374,373,-1,False,False
19,release_complete,,,,False,False
20,reach_to_grasp,269,269,0,False,False
20,grasp_confirmed,301,307,6,False,False
20,grasp_to_lift,301,307,6,False,False
20,lift_to_place,326,326,0,False,False
20,release_commanded,387,386,-1,False,False
20,release_complete,,,,False,False
21,reach_to_grasp,307,307,0,False,False
21,grasp_confirmed,336,342,6,False,False
21,grasp_to_lift,336,342,6,False,False
21,lift_to_place,368,367,-1,False,False
21,release_commanded,492,491,-1,False,False
21,release_complete,,,,False,False
22,reach_to_grasp,303,303,0,False,False
22,grasp_confirmed,336,342,6,False,False
22,grasp_to_lift,336,342,6,False,False
22,lift_to_place,363,362,-1,False,False
22,release_commanded,407,406,-1,False,False
22,release_complete,,,,False,False
23,reach_to_grasp,296,296,0,False,False
23,grasp_confirmed,325,331,6,False,False
23,grasp_to_lift,325,331,6,False,False
23,lift_to_place,355,354,-1,False,False
23,release_commanded,423,422,-1,False,False
23,release_complete,,,,False,False
24,reach_to_grasp,278,278,0,False,False
24,grasp_confirmed,311,317,6,False,False
24,grasp_to_lift,311,317,6,False,False
24,lift_to_place,337,336,-1,False,False
24,release_commanded,434,433,-1,False,False
24,release_complete,,,,False,False
25,reach_to_grasp,326,326,0,False,False
25,grasp_confirmed,359,365,6,False,False
25,grasp_to_lift,359,365,6,False,False
25,lift_to_place,385,384,-1,False,False
25,release_commanded,467,466,-1,False,False
25,release_complete,,,,False,False
26,reach_to_grasp,308,308,0,False,False
26,grasp_confirmed,340,346,6,False,False
26,grasp_to_lift,340,346,6,False,False
26,lift_to_place,368,367,-1,False,False
26,release_commanded,408,407,-1,False,False
26,release_complete,,,,False,False
27,reach_to_grasp,325,325,0,False,False
27,grasp_confirmed,356,363,7,False,False
27,grasp_to_lift,356,363,7,False,False
