mode,level_mm_per_axis_sigma,episodes,success_rate,reach_success_rate,grasp_success_rate,lift_success_rate,place_success_rate,mean_return,failure_stage_counts,injected_axis_mean_m,injected_axis_std_m,injected_norm_mean_m,injected_norm_median_m,injected_norm_p95_m,injected_norm_max_m
fixed,0.0,20,1.0,1.0,1.0,1.0,1.0,3411.0997909028933,"{""none"": 20}","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
fixed,1.0,20,1.0,1.0,1.0,1.0,1.0,3411.207759558055,"{""none"": 20}","[0.00022051695613084624, 0.00020417182953897718, 6.726107712867123e-06]","[0.001009291478545913, 0.0009345713801520404, 0.0010884555897121256]",0.0016471636932030612,0.0016336428626736578,0.0025673984449330837,0.003050624506737306
fixed,2.0,20,1.0,1.0,1.0,1.0,1.0,3411.3241734652534,"{""none"": 20}","[0.00044079424789147004, 0.00040842025211200233, 1.2977936797740375e-05]","[0.002019052993025471, 0.0018695082302710114, 0.0021768090268265757]",0.003294734467455473,0.0032672857253473156,0.005134796889866167,0.006101249013474612
fixed,3.0,20,1.0,1.0,1.0,1.0,1.0,3412.223942953845,"{""none"": 20}","[0.0006624079706783019, 0.0006137101950354398, 1.9280011492468227e-05]","[0.0030278148745397464, 0.0028042979770823337, 0.0032647620452788562]",0.004941806360219426,0.0049009285880209745,0.007702195334799252,0.009151873520211918
fixed,5.0,20,1.0,1.0,1.0,1.0,1.0,3414.086912848321,"{""none"": 20}","[0.0011104818281267412, 0.0010204831574100496, 2.8975765441507632e-05]","[0.005050003901994088, 0.004674381576639511, 0.005439171309701564]",0.008238650063623012,0.008168214313368288,0.01283699222466542,0.01525312253368653
fixed,8.0,20,1.0,1.0,1.0,1.0,1.0,3412.905045450915,"{""none"": 20}","[0.001787926636480291, 0.0016247821547542738, 4.579004655949491e-05]","[0.008080579033113197, 0.007475173800929782, 0.008701216129730542]",0.013179536585138511,0.013069142901389262,0.02053918755946467,0.024404996053898446
fixed,10.0,20,1.0,1.0,1.0,1.0,1.0,3413.2921837334206,"{""none"": 20}","[0.0022615073877483723, 0.0020418869015025047, 4.935349986608147e-05]","[0.010108656606443658, 0.009345745491055539, 0.010863548619600342]",0.01647859419515981,0.016336428626736576,0.02567398444933084,0.03050624506737306
fixed,15.0,20,1.0,1.0,1.0,1.0,1.0,3415.4652176703758,"{""none"": 20}","[0.0033888031634142003, 0.0030323544275453564, 8.160237563203793e-05]","[0.01514899390804795, 0.013996524843001146, 0.016291415558185442]",0.0246861723998528,0.024504642940104866,0.03851097667399626,0.04575936760105959
jitter,0.0,20,1.0,1.0,1.0,1.0,1.0,3411.0997909028933,"{""none"": 20}","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
jitter,1.0,20,1.0,1.0,1.0,1.0,1.0,3411.1509717440704,"{""none"": 20}","[1.5513317528375116e-05, -9.553359089636542e-06, -6.914140902308086e-06]","[0.0009925587849958012, 0.0010044991433983558, 0.001011890746489365]",0.0016001421019133531,0.0015454216064842024,0.002803193680393796,0.005007848494902859
jitter,2.0,20,1.0,1.0,1.0,1.0,1.0,3411.047887864398,"{""none"": 20}","[3.102663505675023e-05, -1.9106718179273084e-05, -1.3828281804616172e-05]","[0.0019851175699916023, 0.0020089982867967115, 0.00202378149297873]",0.0032002842038267062,0.003090843212968405,0.005606387360787592,0.010015696989805718
jitter,3.0,20,1.0,1.0,1.0,1.0,1.0,3410.642109539137,"{""none"": 20}","[4.745174841955645e-05, -2.740899716339778e-05, -2.100836310517381e-05]","[0.002977389925613715, 0.0030130954499136956, 0.003036108919522783]",0.004800173873018805,0.004633949353964827,0.008409985731519838,0.015023545484708575
jitter,5.0,20,1.0,1.0,1.0,1.0,1.0,3411.8394844042946,"{""none"": 20}","[7.746856250094403e-05, -4.6559097995611265e-05, -3.4020620178318025e-05]","[0.0049625143750102844, 0.0050227243700817995, 0.005059387468182816]",0.008000696507135346,0.007726749199142648,0.014015743574003169,0.025039242474514292
jitter,8.0,20,1.0,1.0,1.0,1.0,1.0,3412.045336786684,"{""none"": 20}","[0.00012230544385589186, -7.47016200416728e-05, -5.547104061670783e-05]","[0.007940582401872025, 0.008037192957543694, 0.008093609206261195]",0.012801444109179572,0.012363946985119003,0.02242375081942392,0.04006278795922287
jitter,10.0,20,1.0,1.0,1.0,1.0,1.0,3412.5951798294213,"{""none"": 20}","[0.0001506724256172002, -9.560320383828738e-05, -7.045177860976892e-05]","[0.009925497683117518, 0.010046294956461144, 0.010117148306341693]",0.016001653744321023,0.015455544916061194,0.028029684253610795,0.050078484949028584
jitter,15.0,20,1.0,1.0,1.0,1.0,1.0,3412.780478499909,"{""none"": 20}","[0.00021720874404351464, -0.00014195261778449453, -9.311397765421628e-05]","[0.014883044304002868, 0.015073471589203608, 0.015177459797324789]",0.024003223204799813,0.023181324097263034,0.042044462320379665,0.07511772742354288
