index,valid,failure_reason,full_39d_max_abs_difference,internal_consistency_residual,base_world_round_trip_residual_m,object_position_error_m,pregrasp_position_error_m,grasp_position_error_m,pinch_to_pregrasp_error_m,pinch_to_grasp_error_m,object_to_goal_error_m,object_lift_error_m
0,True,,0.0006174445152282715,1.30385160446167e-08,0.0,"[0.0006082355976104736, 0.0006174445152282715, 0.0]","[0.0006082355976104736, 0.0006174445152282715, 0.0]","[0.0006082355976104736, 0.0006174445152282715, 0.0]","[0.0006082355976104736, 0.0006174133159220219, 7.450580596923828e-09]","[0.0006082355976104736, 0.0006174133159220219, 5.587935447692871e-09]","[0.0, 0.0, 0.0]",[0.0]
1,True,,0.0005623400211334229,1.30385160446167e-08,0.0,"[0.0005623400211334229, 0.00045689940452575684, 0.0]","[0.0005623400211334229, 0.00045689940452575684, 0.0]","[0.0005623400211334229, 0.00045689940452575684, 0.0]","[0.0005623325705528259, 0.00045687519013881683, 7.450580596923828e-09]","[0.0005623325705528259, 0.00045687519013881683, 5.587935447692871e-09]","[0.0, 0.0, 0.0]",[0.0]
2,True,,0.0005255937576293945,1.0011717677116394e-08,0.0,"[0.00048789381980895996, 0.0005255937576293945, 0.0]","[0.00048789381980895996, 0.0005255937576293945, 0.0]","[0.00048789381980895996, 0.0005255937576293945, 0.0]","[0.00048789381980895996, 0.0005255581345409155, 3.725290298461914e-09]","[0.00048789381980895996, 0.0005255581345409155, 3.725290298461914e-09]","[0.0, 0.0, 0.0]",[0.0]
3,True,,0.00026303529739379883,1.1175870895385742e-08,0.0,"[0.00026303529739379883, 0.0002580583095550537, 0.0]","[0.00026303529739379883, 0.0002580583095550537, 0.0]","[0.00026303529739379883, 0.0002580583095550537, 0.0]","[0.00026303529739379883, 0.0002580322325229645, 5.587935447692871e-09]","[0.00026303529739379883, 0.0002580322325229645, 5.587935447692871e-09]","[0.0, 0.0, 0.0]",[0.0]
4,True,,0.0013281255960464478,7.683411240577698e-09,0.0,"[0.0013281255960464478, 0.0006235837936401367, 0.0]","[0.0013281255960464478, 0.0006235837936401367, 0.0]","[0.0013281255960464478, 0.0006235837936401367, 0.0]","[0.001328110694885254, 0.0006235754117369652, 1.862645149230957e-09]","[0.001328110694885254, 0.0006235754117369652, 1.862645149230957e-09]","[0.0, 0.0, 0.0]",[0.0]
5,True,,0.0007265210151672363,7.450580596923828e-09,0.0,"[0.0005355328321456909, 0.0007265210151672363, 0.0]","[0.0005355328321456909, 0.0007265210151672363, 0.0]","[0.0005355328321456909, 0.0007265210151672363, 0.0]","[0.000535525381565094, 0.0007264991290867329, 1.862645149230957e-09]","[0.000535525381565094, 0.0007264991290867329, 0.0]","[0.0, 0.0, 0.0]",[0.0]
6,True,,0.0004182755947113037,1.30385160446167e-08,0.0,"[0.0003134310245513916, 0.0004182755947113037, 0.0]","[0.0003134310245513916, 0.0004182755947113037, 0.0]","[0.0003134310245513916, 0.0004182755947113037, 0.0]","[0.0003134235739707947, 0.00041825720109045506, -5.587935447692871e-09]","[0.0003134235739707947, 0.00041825720109045506, -5.587935447692871e-09]","[0.0, 0.0, 0.0]",[0.0]
7,True,,0.0006612241268157959,7.683411240577698e-09,0.0,"[0.0004975944757461548, 0.0006612241268157959, 0.0]","[0.0004975944757461548, 0.0006612241268157959, 0.0]","[0.0004975944757461548, 0.0006612241268157959, 0.0]","[0.0004975944757461548, 0.0006612234283238649, 0.0]","[0.0004975944757461548, 0.0006612234283238649, 0.0]","[0.0, 0.0, 0.0]",[0.0]
8,True,,0.0009071081876754761,1.30385160446167e-08,0.0,"[0.0009071081876754761, 0.0007867515087127686, 0.0]","[0.0009071081876754761, 0.0007867515087127686, 0.0]","[0.0009071081876754761, 0.0007867515087127686, 0.0]","[0.0009071081876754761, 0.0007867296226322651, 7.450580596923828e-09]","[0.0009071081876754761, 0.0007867296226322651, 7.450580596923828e-09]","[0.0, 0.0, 0.0]",[0.0]
9,True,,0.0005651265382766724,9.778887033462524e-09,0.0,"[0.0005651265382766724, 0.0005226731300354004, 0.0]","[0.0005651265382766724, 0.0005226731300354004, 0.0]","[0.0005651265382766724, 0.0005226731300354004, 0.0]","[0.0005651190876960754, 0.0005226829089224339, 1.862645149230957e-09]","[0.0005651190876960754, 0.0005226829089224339, 1.862645149230957e-09]","[0.0, 0.0, 0.0]",[0.0]
